#deviceId,checkpointId,sample
3,0,2091
3,1,2093
3,2,2096
3,3,2098
3,4,2100
3,5,2102
3,6,2103
3,7,2106
3,8,2108
3,9,2109
3,10,2112
3,11,2115
3,12,2117
3,13,2119
3,14,2122
3,15,2124
3,16,2128
3,17,2130
3,18,2132
3,19,2135
3,20,2137
3,21,2138
3,22,2141
3,23,2143
3,24,2145
3,25,2147
3,26,2150
3,27,2153
3,28,2156
3,29,2160
3,30,2162
3,31,2166
3,32,2170
3,33,2172
3,34,2175
3,35,2177
3,36,2179
3,37,2181
3,38,2186
3,39,2189
3,40,2191
3,41,2193
3,42,2195
3,43,2197
3,44,2200
3,45,2201
3,46,2204
3,47,2207
3,48,2210
3,49,2211
3,50,2213
3,51,2216
3,52,2219
3,53,2223
3,54,2227
