#deviceId,InstantPower(mW),InstantTemperature(C),TotalEnergy(mJ)
3,113330,34,304398532920
3,113330,34,304398532920
3,113330,34,304398532920
3,113355,34,304398532920
3,113355,34,304398544190
3,113355,34,304398544190
3,113355,34,304398544190
3,113355,34,304398544190
3,113355,34,304398544190
3,113355,34,304398544190
3,113355,34,304398544190
3,113355,34,304398544190
3,113355,34,304398544190
3,113355,34,304398544190
3,113364,34,304398544190
3,113364,34,304398555453
3,113364,34,304398555453
3,113364,34,304398555453
3,113364,34,304398555453
3,113364,34,304398555453
3,113364,34,304398555453
3,113364,34,304398555453
3,113364,34,304398555453
3,113364,34,304398555453
3,113364,34,304398555453
3,113348,34,304398555453
3,113348,34,304398555453
3,113348,34,304398566730
3,113348,34,304398566730
3,113348,34,304398566730
3,113348,34,304398566730
3,113348,34,304398566730
3,113348,34,304398566730
3,113348,34,304398566730
3,113348,34,304398566730
3,113348,34,304398566730
3,113348,34,304398566730
3,113348,34,304398566730
3,113077,34,304398578022
3,113077,34,304398578022
3,113077,34,304398578022
3,113077,34,304398578022
3,113077,34,304398578022
3,113077,34,304398578022
3,113077,34,304398578022
3,113077,34,304398578022
3,113077,34,304398578022
3,113077,34,304398578022
3,113077,34,304398578022
3,113077,34,304398578022
3,113077,34,304398578022
3,113077,34,304398578022
3,113077,34,304398589507
3,113276,34,304398589507
3,113276,34,304398589507
3,113276,34,304398589507
3,113276,34,304398589507
3,113276,34,304398589507
3,113276,34,304398589507
3,113276,34,304398589507
3,113276,34,304398589507
3,113276,34,304398589507
3,113276,34,304398589507
3,113276,34,304398589507
3,113276,34,304398600779
3,113282,34,304398600779
3,113282,34,304398600779
3,113282,34,304398600779
3,113282,34,304398600779
3,113282,34,304398600779
3,113282,34,304398600779
3,113282,34,304398600779
3,113282,34,304398600779
3,113282,34,304398600779
3,113282,34,304398600779
3,113282,34,304398612218
3,113282,34,304398612218
3,113302,34,304398612218
3,113302,34,304398612218
3,113302,34,304398612218
3,113302,34,304398612218
3,113302,34,304398612218
3,113302,34,304398612218
3,113302,34,304398612218
3,113302,34,304398612218
3,113302,34,304398612218
3,113302,34,304398612218
3,113302,34,304398612218
3,113302,34,304398623306
3,113302,34,304398623306
3,113286,34,304398623306
3,113286,34,304398623306
3,113286,34,304398623306
3,113286,34,304398623306
3,113286,34,304398623306
3,113286,34,304398623306
3,113286,34,304398623306
3,113286,34,304398623306
3,113286,34,304398623306
3,113286,34,304398634568
3,113286,34,304398634568
3,113286,34,304398634568
3,113052,34,304398634568
3,113052,34,304398634568
3,113052,34,304398634568
3,113052,34,304398634568
3,113052,34,304398634568
3,113052,34,304398634568
3,113052,34,304398634568
3,113052,34,304398634568
3,113052,34,304398646062
3,113052,34,304398646062
3,113276,34,304398646062
3,113276,34,304398646062
3,113276,34,304398646062
3,113276,34,304398646062
3,113276,34,304398646062
3,113276,34,304398646062
3,113276,34,304398646062
3,113276,34,304398646062
3,113276,34,304398646062
3,113276,34,304398646062
3,113276,34,304398646062
3,113276,34,304398657334
3,113276,34,304398657334
3,113276,34,304398657334
3,113276,34,304398657334
3,113278,34,304398657334
3,113278,34,304398657334
3,113278,34,304398657334
3,113278,34,304398657334
3,113278,34,304398657334
3,113278,34,304398657334
3,113278,34,304398657334
3,113278,34,304398657334
3,113278,34,304398657334
3,113278,34,304398668683
3,113278,34,304398668683
3,113278,34,304398668683
3,113278,34,304398668683
3,113278,34,304398668683
3,113278,34,304398668683
3,113266,34,304398668683
3,113266,34,304398668683
3,113266,34,304398668683
3,113266,34,304398668683
3,113266,34,304398668683
3,113266,34,304398668683
3,113266,34,304398668683
3,113266,34,304398679857
3,113266,34,304398679857
3,113266,34,304398679857
3,113266,34,304398679857
3,113266,34,304398679857
3,113266,34,304398679857
3,113262,34,304398679857
3,113262,34,304398679857
3,113262,34,304398679857
3,113262,34,304398679857
3,113262,34,304398679857
3,113262,34,304398679857
3,113262,34,304398691216
3,113262,34,304398691216
3,113262,34,304398691216
3,113262,34,304398691216
3,113262,34,304398691216
3,113262,34,304398691216
3,113262,34,304398691216
3,113040,34,304398691216
3,113040,34,304398691216
3,113040,34,304398691216
3,113040,34,304398691216
3,113040,34,304398691216
3,113040,34,304398691216
3,113040,34,304398702427
3,113040,34,304398702427
3,113040,34,304398702427
3,113040,34,304398702427
3,113040,34,304398702427
3,113040,34,304398702427
3,113040,34,304398702427
3,113040,34,304398702427
3,113255,34,304398702427
3,113255,34,304398702427
3,113255,34,304398702427
3,113255,34,304398702427
3,113255,34,304398702427
3,113255,34,304398713994
3,113255,34,304398713994
3,113255,34,304398713994
3,113255,34,304398713994
3,113255,34,304398713994
3,113255,34,304398713994
3,113255,34,304398713994
3,113255,34,304398713994
3,113247,34,304398713994
3,113247,34,304398713994
3,113247,34,304398713994
3,113247,34,304398713994
3,113247,34,304398713994
