#deviceId,InstantPower(mW),InstantTemperature(C),TotalEnergy(mJ)
3,112849,34,304406112234
3,112849,34,304406112234
3,112849,34,304406112234
3,112849,34,304406112234
3,112849,34,304406112234
3,112849,34,304406112234
3,112849,34,304406112234
3,112849,34,304406112234
3,112849,34,304406123499
3,112849,34,304406123499
3,112849,34,304406123499
3,112849,34,304406123499
3,112849,34,304406123499
3,112849,34,304406123499
3,112849,34,304406123499
3,112849,34,304406123499
3,112849,34,304406123499
3,112849,34,304406123499
3,112849,34,304406123499
3,112849,34,304406123499
3,112849,34,304406123499
3,112849,34,304406123499
3,112849,34,304406123499
3,112849,34,304406123499
3,112849,34,304406123499
3,112849,34,304406123499
3,112849,34,304406123499
3,112849,34,304406123499
3,112849,34,304406123499
3,112849,34,304406134702
3,112849,34,304406134702
3,112849,34,304406134702
3,112849,34,304406134702
3,112849,34,304406134702
3,112849,34,304406134702
3,112849,34,304406134702
3,112849,34,304406134702
3,112849,34,304406134702
3,112849,34,304406134702
3,112861,34,304406134702
3,112861,34,304406134702
3,112861,34,304406134702
3,112861,34,304406134702
3,112861,34,304406134702
3,112861,34,304406134702
3,112861,34,304406134702
3,112861,34,304406134702
3,112861,34,304406134702
3,112861,34,304406134702
3,112861,34,304406134702
3,112861,34,304406145970
3,112861,34,304406145970
3,112861,34,304406145970
3,112861,34,304406145970
3,112861,34,304406145970
3,112861,34,304406145970
3,112861,34,304406145970
3,112861,34,304406145970
3,112861,34,304406145970
3,112861,34,304406145970
3,112861,34,304406145970
3,112861,34,304406145970
3,112861,34,304406145970
3,112854,34,304406145970
3,112854,34,304406145970
3,112854,34,304406145970
3,112854,34,304406145970
3,112854,34,304406145970
3,112854,34,304406145970
3,112854,34,304406145970
3,112854,34,304406145970
3,112854,34,304406157304
3,112854,34,304406157304
3,112854,34,304406157304
3,112854,34,304406157304
3,112854,34,304406157304
3,112854,34,304406157304
3,112854,34,304406157304
3,112854,34,304406157304
3,112854,34,304406157304
3,112865,34,304406157304
3,112865,34,304406168520
3,112865,34,304406168520
3,112865,34,304406168520
3,112865,34,304406168520
3,112865,34,304406168520
3,112865,34,304406168520
3,112909,34,304406179839
3,112909,34,304406179839
3,112909,34,304406191119
3,112909,34,304406191119
3,112909,34,304406191119
3,112902,34,304406202397
3,112902,34,304406202397
3,112902,34,304406202397
3,112896,34,304406213649
3,112896,34,304406213649
3,112896,34,304406213649
3,112889,34,304406224932
3,112889,34,304406224932
3,112889,34,304406224932
3,112889,34,304406224932
3,112889,34,304406224932
3,112889,34,304406236197
3,112889,34,304406236197
3,112882,34,304406236197
3,112882,34,304406247473
3,112882,34,304406247473
3,112864,34,304406258740
3,112864,34,304406258740
3,112864,34,304406270005
3,112859,34,304406270005
3,112859,34,304406270005
3,112859,34,304406270005
3,112840,34,304406270005
3,112840,34,304406281274
3,112840,34,304406281274
3,112840,34,304406281274
3,112786,34,304406292566
3,112786,34,304406292566
3,112786,34,304406292566
